_id,Price,Location,Area
1,3.3 Crore,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",1 Kanal
2,3.55 Crore,"Wapda Town Phase 1 - Block F1, Wapda Town Phase 1",1 Kanal
3,3.4 Crore,"Wapda Town Phase 1 - Block B4, Wapda Town Phase 1",1 Kanal
4,2.17 Crore,"Wapda Town Phase 1 - Block K3, Wapda Town Phase 1",10 Marla
5,2.27 Crore,"Wapda Town Phase 1 - Block F1, Wapda Town Phase 1",10 Marla
6,2.8 Crore,"Wapda Town Phase 2 - Block Q1, Wapda Town Phase 2",1 Kanal
7,3.5 Crore,"Wapda Town Phase 1, Wapda Town",1 Kanal
8,1.65 Crore,"Wapda Town Phase 2 - Block N1, Wapda Town Phase 2",10 Marla
9,2.25 Crore,"Wapda Town Phase 2 - Block P3, Wapda Town Phase 2",1 Kanal
10,5.75 Crore,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",2 Kanal
11,1.6 Crore,"Wapda Town Phase 1 - Block H4, Wapda Town Phase 1",10 Marla
12,3.35 Crore,"Wapda Town Phase 2 - Block Q2, Wapda Town Phase 2",1.2 Kanal
13,1.6 Crore,"Wapda Town Phase 1 - Block H4, Wapda Town Phase 1",10 Marla
14,7.6 Crore,"Wapda Town Phase 1 - Block E2, Wapda Town Phase 1",1 Kanal
15,3.5 Crore,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",1.1 Kanal
16,2.6 Crore,"Wapda Town Phase 1 - Block D3, Wapda Town Phase 1",10 Marla
17,2.2 Crore,"Wapda Town Phase 1, Wapda Town",10 Marla
18,3.4 Crore,"Wapda Town Phase 1 - Block H3, Wapda Town Phase 1",1 Kanal
19,1.85 Crore,"Wapda Town Phase 2, Wapda Town",10 Marla
20,6.5 Crore,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",2 Kanal
21,2.25 Crore,"Wapda Town Phase 1 - Block A2, Wapda Town Phase 1",1 Kanal
22,8.5 Crore,"Wapda Town, Lahore",2 Kanal
23,2.9 Crore,"Wapda Town, Lahore",1 Kanal
24,2.9 Crore,"Wapda Town, Lahore",1 Kanal
25,8.5 Crore,"Wapda Town, Lahore",2 Kanal
26,2.5 Crore,"Wapda Town Phase 1, Wapda Town",1 Kanal
27,2.3 Crore,"Wapda Town Phase 1 - Block K3, Wapda Town Phase 1",10 Marla
28,2.25 Crore,"Wapda Town Phase 1 - Block H2, Wapda Town Phase 1",1 Kanal
29,3.5 Crore,"Wapda Town Phase 1 - Block K1, Wapda Town Phase 1",1 Kanal
30,1.85 Crore,"Wapda Town Phase 1 - Block K3, Wapda Town Phase 1",10 Marla
31,3.15 Crore,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",1 Kanal
32,2.25 Crore,"Wapda Town Phase 1 - Block G2, Wapda Town Phase 1",10 Marla
33,4.75 Crore,"Wapda Town Phase 1 - Block K1, Wapda Town Phase 1",1 Kanal
34,4.75 Crore,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",1.4 Kanal
35,3.5 Crore,"Wapda Town Phase 1 - Block B4, Wapda Town Phase 1",1 Kanal
36,2.25 Crore,"Wapda Town Phase 1 - Block J2, Wapda Town Phase 1",10 Marla
37,2.8 Crore,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",1 Kanal
38,4.25 Crore,"Wapda Town Phase 1 - Block K1, Wapda Town Phase 1",1 Kanal
39,8 Crore,"Wapda Town Phase 2, Wapda Town",4 Kanal
40,3.2 Crore,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",1 Kanal
41,1.45 Crore,"Wapda Town Phase 1 - Block A1, Wapda Town Phase 1",10 Marla
42,1.6 Crore,"Wapda Town Phase 1 - Block A1, Wapda Town Phase 1",10 Marla
43,2.9 Crore,"Wapda Town, Lahore",1 Kanal
44,2.9 Crore,"Wapda Town, Lahore",1 Kanal
45,8.5 Crore,"Wapda Town, Lahore",2 Kanal
46,2 Crore,"Wapda Town Phase 2 - Block N3, Wapda Town Phase 2",10 Marla
47,3.25 Crore,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",1 Kanal
48,1.75 Crore,"Wapda Town Phase 1 - Block H4, Wapda Town Phase 1",10 Marla
49,3.25 Crore,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",1 Kanal
50,1.75 Crore,"Wapda Town Phase 1 - Block A2, Wapda Town Phase 1",10 Marla
51,1.9 Crore,"Wapda Town Phase 2 - Block N2, Wapda Town Phase 2",10 Marla
52,6.75 Crore,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",2 Kanal
53,5.5 Crore,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",1 Kanal
54,4 Crore,"Wapda Town, Lahore",1 Kanal
